user_id,movie_id,rank,pred_score,label
1,2858,1,0.386802,0
1,3448,2,0.207328,0
1,595,3,0.206787,1
1,1674,4,0.166789,0
1,1259,5,0.160385,0
1,2081,6,0.126609,0
1,2324,7,0.120201,0
1,1784,8,0.096114,0
1,1220,9,0.09456,0
1,1278,10,0.033012,0
2,356,1,0.411983,0
2,2352,2,0.276953,0
2,1302,3,0.179271,0
2,1674,4,0.151937,0
2,858,5,0.136439,0
2,1393,6,0.119086,0
2,2396,7,0.095598,0
2,1,8,0.068289,0
2,1084,9,0.053494,0
2,2000,10,0.045661,0
3,2406,1,0.647094,0
3,1275,2,0.605653,0
3,380,3,0.579268,0
3,2028,4,0.435876,0
3,2628,5,0.329632,0
3,648,6,0.306648,0
3,349,7,0.215545,0
3,1127,8,0.160831,0
3,2640,9,0.146684,0
3,3527,10,0.114529,0
4,2949,1,0.352206,0
4,2944,2,0.338628,0
4,2948,3,0.196989,0
4,1127,4,0.167295,0
4,1287,5,0.141341,0
4,1196,6,0.087878,0
4,2571,7,0.074847,0
4,1210,8,0.018739,0
4,1278,9,0.002256,0
4,2762,10,-0.00129,0
5,778,1,0.385005,0
5,1196,2,0.209721,0
5,3160,3,0.209248,0
5,2391,4,0.191732,0
5,1732,5,0.189969,1
5,800,6,0.18142,0
5,1179,7,0.169116,0
5,293,8,0.120245,0
5,1094,9,0.102563,0
5,2396,10,0.095598,0
6,2096,1,1.013464,0
6,2078,2,0.928333,0
6,2100,3,0.67201,0
6,597,4,0.662192,1
6,1028,5,0.528998,0
6,899,6,0.516809,0
6,1029,7,0.483879,0
6,357,8,0.383107,0
6,539,9,0.358081,0
6,594,10,0.330857,0
7,165,1,0.69287,0
7,2058,2,0.675228,0
7,1370,3,0.669428,0
7,2353,4,0.63762,1
7,2006,5,0.566335,0
7,10,6,0.557533,0
7,3256,7,0.553146,1
7,349,8,0.553146,1
7,1580,9,0.50961,0
7,380,10,0.365921,1
8,1682,1,0.410057,0
8,593,2,0.241134,0
8,2959,3,0.238564,0
8,356,4,0.215385,0
8,318,5,0.099919,0
8,457,6,0.067724,0
8,2268,7,0.058056,0
8,778,8,0.055778,0
8,2000,9,0.050772,0
8,2890,10,0.034187,0
9,1682,1,0.396694,1
9,296,2,0.309798,0
9,1784,3,0.188727,0
9,1214,4,0.12703,0
9,1196,5,0.100919,0
9,2000,6,0.099761,0
9,2291,7,0.078974,0
9,2716,8,0.060969,0
9,1270,9,0.060354,0
9,293,10,0.054193,0
10,380,1,0.747666,0
10,296,2,0.319754,0
10,260,3,0.279025,1
10,1196,4,0.256007,1
10,2406,5,0.223819,0
10,1784,6,0.172226,1
10,593,7,0.16263,0
10,2858,8,0.152234,0
10,357,9,0.115229,0
10,318,10,0.111398,1
11,296,1,0.664835,0
11,1732,2,0.570905,1
11,1682,3,0.472082,0
11,235,4,0.343827,0
11,2395,5,0.310505,0
11,356,6,0.261361,0
11,2797,7,0.187133,0
11,1,8,0.176506,0
11,1060,9,0.138535,0
11,2396,10,0.126731,0
12,2947,1,0.263702,0
12,1234,2,0.219777,0
12,260,3,0.198223,0
12,1617,4,0.186426,0
12,318,5,0.113385,0
12,111,6,0.062832,0
12,296,7,-0.005145,0
12,1089,8,-0.069703,0
12,1953,9,-0.09439,0
12,110,10,-0.126156,0
13,2858,1,0.3937,0
13,316,2,0.391935,0
13,2640,3,0.303578,0
13,1210,4,0.299205,0
13,1370,5,0.290123,0
13,260,6,0.26196,0
13,648,7,0.245165,0
13,480,8,0.236936,1
13,1214,9,0.2307,0
13,2115,10,0.179214,0
14,3176,1,0.264446,0
14,2858,2,0.214255,0
14,296,3,-0.028964,0
14,223,4,-0.196793,0
14,3793,5,-0.203147,0
14,3160,6,-0.266274,0
14,2395,7,-0.31097,0
14,457,8,-0.345215,0
14,593,9,-0.348886,0
14,2959,10,-0.371982,0
15,380,1,0.338825,0
15,1682,2,0.275385,0
15,608,3,0.21265,0
15,296,4,0.200208,0
15,349,5,0.168088,0
15,593,6,0.16634,1
15,2959,7,0.119508,0
15,1393,8,0.099295,0
15,2353,9,0.07834,0
15,1270,10,0.071132,0
16,2858,1,0.30153,0
16,3578,2,0.284758,0
16,2770,3,0.183181,0
16,1517,4,0.166844,0
16,3253,5,-0.225211,0
16,357,6,-0.228285,0
16,2571,7,-0.261137,0
16,223,8,-0.394554,0
16,318,9,-0.471262,0
16,1270,10,-0.526907,0
17,780,1,0.600912,1
17,1278,2,0.235862,0
17,377,3,0.189891,0
17,2716,4,0.182089,0
17,1198,5,0.171098,0
17,1387,6,0.170381,0
17,47,7,0.169684,0
17,1653,8,0.139466,0
17,1097,9,0.116583,0
17,858,10,0.104669,0
18,2470,1,0.36419,0
18,1270,2,0.284037,0
18,593,3,0.16634,0
18,2571,4,0.153977,0
18,296,5,0.102728,0
18,318,6,0.070506,0
18,480,7,0.060337,0
18,3114,8,0.05802,0
18,2716,9,0.036806,0
18,2804,10,0.031386,0
19,3578,1,0.236498,0
19,260,2,0.219618,0
19,356,3,0.209746,0
19,480,4,0.148725,1
19,3703,5,0.147006,0
19,2006,6,0.144164,0
19,296,7,0.130729,0
19,1214,8,0.072532,0
19,648,9,0.04631,0
19,608,10,0.039956,0
20,2353,1,0.890604,0
20,1573,2,0.695614,0
20,3256,3,0.501817,0
20,1370,4,0.474777,0
20,380,5,0.461799,0
20,474,6,0.328232,0
20,349,7,0.324537,0
20,1580,8,0.305372,0
20,6,9,0.283373,0
20,50,10,0.248453,0
22,296,1,0.43676,0
22,2000,2,0.433537,0
22,2959,3,0.410994,0
22,356,4,0.309368,0
22,235,5,0.214941,0
22,2797,6,0.1955,0
22,593,7,0.16634,0
22,1,8,0.128461,0
22,1278,9,0.107781,0
22,1206,10,0.101246,0
23,2105,1,0.753414,0
23,3702,2,0.651465,0
23,2571,3,0.552068,0
23,3703,4,0.302509,0
23,1676,5,0.257717,0
23,6,6,0.222653,0
23,377,7,0.211176,1
23,1214,8,0.20652,0
23,924,9,0.20431,0
23,2028,10,0.200125,0
24,357,1,0.31718,0
24,356,2,0.233038,0
24,1784,3,0.1955,0
24,2000,4,0.166279,0
24,2324,5,0.078319,0
24,1196,6,0.07427,0
24,260,7,0.070937,1
24,1265,8,0.064284,1
24,3363,9,0.061399,0
24,2174,10,0.045228,0
25,316,1,0.448459,0
25,329,2,0.437706,0
25,380,3,0.371704,0
25,2640,4,0.30575,0
25,2571,5,0.305506,0
25,2115,6,0.304576,0
25,1127,7,0.298544,0
25,589,8,0.294812,0
25,1370,9,0.290123,0
25,2858,10,0.269308,0
26,380,1,0.633759,0
26,357,2,0.289461,0
26,260,3,0.288516,0
26,587,4,0.248956,0
26,539,5,0.223485,0
26,593,6,0.152767,0
26,2006,7,0.143692,0
26,2000,8,0.099761,0
26,2353,9,0.085987,0
26,2396,10,0.068212,0
27,1196,1,0.793093,0
27,909,2,0.686796,0
27,296,3,0.521449,0
27,1260,4,0.512934,0
27,1284,5,0.446499,0
27,1244,6,0.410902,0
27,1179,7,0.39836,0
27,1254,8,0.358267,1
27,3334,9,0.325361,0
27,1270,10,0.31023,0
28,1674,1,0.290547,0
28,2000,2,0.202061,0
28,593,3,0.198083,0
28,2174,4,0.165677,0
28,2858,5,0.156318,1
28,903,6,0.154495,0
28,2324,7,0.14766,0
28,1234,8,0.142316,0
28,1394,9,0.129025,0
28,1089,10,0.108919,0
29,2028,1,0.955991,0
29,1210,2,0.716049,0
